,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
101,SNHG3,326.9186198,2.503481489,0.199324388,12.5598353,3.51063E-36,1.1603E-33
102,TAF12,28.69139304,1.033724997,0.400478637,2.581223822,0.009845073,0.031441892
103,GMEB1,113.1240576,-0.766179539,0.305365388,-2.509058231,0.012105353,0.037096972
104,EPB41,325.6424252,-1.104804862,0.218711441,-5.051426921,4.38522E-07,5.64374E-06
105,MECR,25.24553974,1.228491401,0.413461705,2.971233822,0.002966059,0.011646804
106,LAPTM5,300.8318636,-0.48909669,0.136535081,-3.582205296,0.000340706,0.001892892
107,PUM1,834.2451414,-0.268559646,0.112050335,-2.396776827,0.016539994,0.047854772
108,TMEM39B,12.30005336,1.24892939,0.509897524,2.449373318,0.014310504,0.042508368
109,KPNA6,327.4220936,-0.425843311,0.163404873,-2.60606249,0.009158975,0.029702613
110,CCDC28B,16.57979501,1.788139382,0.427497573,4.182805929,2.87933E-05,0.000223974
111,TMEM234,4.877139694,2.059926717,0.717380281,2.87145712,0.004085842,0.01524609
112,EIF3I,152.6882806,0.699376481,0.188018951,3.71971271,0.00019945,0.001199477
113,HDAC1,96.09880326,0.664744772,0.261575626,2.541310072,0.011043793,0.034545767
114,BSDC1,141.794084,-1.846744466,0.235007703,-7.858229496,3.89601E-15,2.36409E-13
115,SYNC,11.86912266,2.110422222,0.589921848,3.577460694,0.000346948,0.001923446
116,KIAA1522,18.73380989,-1.058981953,0.429223179,-2.467205886,0.013617204,0.040843723
117,RP1-117O3.2,10.70657625,2.722240028,0.581288275,4.683115326,2.82547E-06,2.93781E-05
118,AK2,154.8330577,1.43902809,0.230353487,6.247042786,4.18297E-10,1.11455E-08
119,RP11-415J8.3,9.86975913,3.339299697,0.655689462,5.092806717,3.52801E-07,4.65231E-06
120,SMIM12,23.80359095,1.820665078,0.447175021,4.071482068,4.6715E-05,0.000341492
121,ZMYM6,81.49546839,-1.414963786,0.346308118,-4.085852203,4.39153E-05,0.000324076
122,SFPQ,696.5715708,-0.521154636,0.104286075,-4.997355948,5.81217E-07,7.23493E-06
123,KIAA0319L,185.1440342,-0.71342669,0.256185755,-2.784802339,0.005356036,0.019130988
124,NCDN,11.81582685,1.684992135,0.523210702,3.220484842,0.00127974,0.005840034
125,TFAP2E,17.72228939,2.402209612,0.612908509,3.919360844,8.87841E-05,0.000593703
126,PSMB2,154.7514511,0.569127213,0.218166303,2.608685238,0.00908908,0.029525256
127,CLSPN,25.80969563,1.364316825,0.542919555,2.512926293,0.011973435,0.036845352
128,AGO3,349.871459,-0.773618683,0.155830973,-4.964473175,6.88878E-07,8.46601E-06
129,MAP7D1,94.07983049,0.737997133,0.277090909,2.663375478,0.007736104,0.025954696
130,SH3D21,4.522646691,-2.031281901,0.652351408,-3.113784804,0.001847042,0.007882402
131,LSM10,35.39387982,1.720954091,0.434425415,3.961448921,7.44963E-05,0.000510466
132,MRPS15,60.1987807,1.135744587,0.3139573,3.617512915,0.000297447,0.001688797
133,CSF3R,234.0512665,-2.215369349,0.262682378,-8.433642817,3.35068E-17,2.94065E-15
134,LINC01137,9.471484409,1.829658442,0.406972107,4.495783396,6.93143E-06,6.38629E-05
135,C1orf109,5.632092119,3.413220982,0.682842168,4.998550382,5.77629E-07,7.20136E-06
136,MYCBP,30.53375188,2.154500193,0.395494245,5.44761452,5.10498E-08,8.26912E-07
137,AKIRIN1,168.1531196,-0.549683343,0.187778062,-2.927303309,0.003419153,0.01313056
138,NDUFS5,252.026552,0.622055749,0.167185188,3.720758748,0.000198625,0.001195445
139,MACF1,1183.757426,-0.443151843,0.116560147,-3.801915625,0.000143582,0.000904093
140,RP11-416A14.2,10.85089318,2.029536228,0.394122052,5.149511985,2.61165E-07,3.56257E-06
141,RP11-420K8.1,3.840692869,3.416934107,1.143342815,2.988547321,0.002803071,0.011128966
142,PPIE,49.12182501,0.891468102,0.308802175,2.886858237,0.003891095,0.014653157
143,RP1-118J21.27,1.691806067,2.39647145,0.961384981,2.492728198,0.012676584,0.038483108
144,MFSD2A,6.992639374,3.57551051,0.621862261,5.749682417,8.94112E-09,1.74926E-07
145,CAP1,261.2331539,0.502297257,0.164699302,3.049783765,0.002290062,0.009391188
146,PPT1,48.21107059,0.811085585,0.314895519,2.575729203,0.010002895,0.031821621
147,RLF,458.4592657,-0.924485155,0.138739735,-6.663449063,2.67475E-11,8.82156E-10
148,COL9A2,21.11853864,-2.330878752,0.445266954,-5.234789451,1.65173E-07,2.35394E-06
149,SMAP2,142.7423994,-1.478610043,0.241420947,-6.124613725,9.09039E-10,2.24143E-08
150,RP11-656D10.3,3.992351788,2.734760042,0.764319896,3.578030686,0.000346193,0.001919943
151,RIMS3,1.12146546,2.506416711,0.931731321,2.690063815,0.007143836,0.02429342
152,CITED4,6.531177168,-1.153467592,0.43525264,-2.6501105,0.008046545,0.026799963
153,SLFNL1-AS1,25.49052919,-1.377367214,0.530313619,-2.597269172,0.009396825,0.03025918
154,HIVEP3,180.1895812,0.868629725,0.314662881,2.760509035,0.005771136,0.0204072
155,FOXJ3,360.6399191,-0.584068894,0.175141335,-3.334843219,0.000853475,0.004143088
156,RP5-994D16.13,3.341305689,2.790910878,0.727445267,3.836592253,0.000124753,0.000799142
157,YBX1,579.4384515,0.391511942,0.134027666,2.921127815,0.003487667,0.01335406
158,EBNA1BP2,81.45324835,1.45450211,0.270544861,5.376195673,7.60761E-08,1.17123E-06
