"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01816",0.000716672442224805,3.55142483045596,0.111,0,1
"VAX2",0.000716672442224805,3.55507426717935,0.111,0,1
"RP11-580J2.2",0.000716672442224805,3.54807883056218,0.111,0,1
"AC012307.2",0.000716672442224805,4.22107766150621,0.111,0,1
"RGPD6",0.000716672442224805,3.81930783479834,0.111,0,1
"AC078882.1",0.000716672442224805,3.57302267326689,0.111,0,1
"AC023469.2",0.000716672442224805,3.55182737968097,0.111,0,1
"AC096649.2",0.000716672442224805,3.54807883056218,0.111,0,1
"ALPP",0.000716672442224805,3.54787704633871,0.111,0,1
"AC114812.8",0.000716672442224805,3.60116492714919,0.111,0,1
"MROH2A",0.000716672442224805,3.54787704633871,0.111,0,1
"SLC6A11",0.000716672442224805,3.56075441535759,0.111,0,1
"RP11-2B2.1",0.000716672442224805,4.0498057954114,0.111,0,1
"XIRP1",0.000716672442224805,3.60767254220493,0.111,0,1
"RP11-256B12.1",0.000716672442224805,3.55812745203076,0.111,0,1
"RP11-520A21.1",0.000716672442224805,3.58603841837013,0.111,0,1
"PROK2",0.000716672442224805,3.71551462324674,0.111,0,1
"RP11-49I4.5",0.000716672442224805,3.54807883056218,0.111,0,1
"SIDT1-AS1",0.000716672442224805,3.57302267326689,0.111,0,1
"PLA1A",0.000716672442224805,3.55142483045596,0.111,0,1
"LINC02045",0.000716672442224805,3.55812745203076,0.111,0,1
"MME-AS1",0.000716672442224805,3.66067646409297,0.111,0,1
"RP11-109B8.2",0.000716672442224805,3.55182737968097,0.111,0,1
"LINC02082",0.000716672442224805,3.54787704633871,0.111,0,1
"SLC2A2",0.000716672442224805,3.55507426717935,0.111,0,1
"LINC02031",0.000716672442224805,3.55556621419461,0.111,0,1
"EPHB3",0.000716672442224805,3.55812745203076,0.111,0,1
"FAM43A",0.000716672442224805,3.75409534655417,0.111,0,1
"RP11-803P9.1",0.000716672442224805,3.54787704633871,0.111,0,1
"RP11-586D19.2",0.000716672442224805,3.55182737968097,0.111,0,1
"RP11-22A3.2",0.000716672442224805,3.54807883056218,0.111,0,1
"RP11-123O22.2",0.000716672442224805,3.55507426717935,0.111,0,1
"RP11-472K22.1",0.000716672442224805,3.54807883056218,0.111,0,1
"LINC02472",0.000716672442224805,4.09222790501484,0.111,0,1
"RP11-257A22.1",0.000716672442224805,3.55182737968097,0.111,0,1
"CXCL1",0.000716672442224805,3.54807883056218,0.111,0,1
"RP11-767N15.1",0.000716672442224805,3.57700322057112,0.111,0,1
"RP11-184M15.2",0.000716672442224805,3.5583609491013,0.111,0,1
"RP11-98O2.1",0.000716672442224805,3.55507426717935,0.111,0,1
"MGAT4D",0.000716672442224805,3.97051773575794,0.111,0,1
"RP13-539F13.3",0.000716672442224805,4.37531449593172,0.111,0,1
"RP11-73G16.1",0.000716672442224805,3.60367121190658,0.111,0,1
"RP11-73G16.5",0.000716672442224805,3.5583609491013,0.111,0,1
"RP11-154F14.2",0.000716672442224805,3.62398127499449,0.111,0,1
"RP11-440I14.3",0.000716672442224805,3.56075441535759,0.111,0,1
"RP11-701P16.6",0.000716672442224805,3.54787704633871,0.111,0,1
