Subset,Detail
LMPP_Progenitors,ZNF644
LMPP_Progenitors,DPYD-AS1
LMPP_Progenitors,FRRS1
LMPP_Progenitors,HENMT1
LMPP_Progenitors,TRIM33
LMPP_Progenitors,TSPAN2
LMPP_Progenitors,VANGL1
LMPP_Progenitors,RP11-289H16.1
LMPP_Progenitors,NBPF14
LMPP_Progenitors,PDE4DIP
LMPP_Progenitors,MLLT11
LMPP_Progenitors,SCNM1
LMPP_Progenitors,S100A4
LMPP_Progenitors,SLC27A3
LMPP_Progenitors,JTB
LMPP_Progenitors,FLAD1
LMPP_Progenitors,MRPL24
LMPP_Progenitors,IGSF8
LMPP_Progenitors,TSTD1
LMPP_Progenitors,DUSP12
LMPP_Progenitors,SELL
LMPP_Progenitors,GORAB
LMPP_Progenitors,SUCO
LMPP_Progenitors,KIAA0040
LMPP_Progenitors,LINC02803
LMPP_Progenitors,GLUL
LMPP_Progenitors,RP11-134G8.7
LMPP_Progenitors,CD34
LMPP_Progenitors,LPGAT1
LMPP_Progenitors,LYPLAL1
LMPP_Progenitors,CAPN2
LMPP_Progenitors,ACBD3
LMPP_Progenitors,PARP1
LMPP_Progenitors,GGPS1
LMPP_Progenitors,LYST
LMPP_Progenitors,GPR137B
LMPP_Progenitors,ERO1B
LMPP_Progenitors,CHML
LMPP_Progenitors,CMPK2
LMPP_Progenitors,RSAD2
LMPP_Progenitors,ID2
LMPP_Progenitors,SLC66A3
LMPP_Progenitors,TP53I3
LMPP_Progenitors,CENPA
LMPP_Progenitors,ATRAID
LMPP_Progenitors,PPP1CB
LMPP_Progenitors,STRN
LMPP_Progenitors,CDC42EP3
LMPP_Progenitors,GEMIN6
LMPP_Progenitors,MTA3
LMPP_Progenitors,TTC7A
LMPP_Progenitors,PSME4
LMPP_Progenitors,RAB1A
LMPP_Progenitors,ACTR2
LMPP_Progenitors,ETAA1
LMPP_Progenitors,PPP3R1
LMPP_Progenitors,MXD1
LMPP_Progenitors,SMYD5
LMPP_Progenitors,MOGS
LMPP_Progenitors,MRPL19
LMPP_Progenitors,MRPL35
LMPP_Progenitors,ANKRD36C
LMPP_Progenitors,ANKRD36
LMPP_Progenitors,ANKRD36B
LMPP_Progenitors,SH3RF3
LMPP_Progenitors,RP11-68E19.2
LMPP_Progenitors,ARHGAP15-AS1
LMPP_Progenitors,CERS6
LMPP_Progenitors,FKBP7
LMPP_Progenitors,ITGA4
LMPP_Progenitors,OSGEPL1
LMPP_Progenitors,KANSL1L-AS1
LMPP_Progenitors,DIRC3
LMPP_Progenitors,DGKD
LMPP_Progenitors,ASB1
LMPP_Progenitors,DTYMK
LMPP_Progenitors,TAMM41
LMPP_Progenitors,MKRN2OS
LMPP_Progenitors,LSM3
LMPP_Progenitors,UBE2E1
LMPP_Progenitors,RPL15
LMPP_Progenitors,NKTR
LMPP_Progenitors,INKA1
LMPP_Progenitors,IFRD2
LMPP_Progenitors,POC1A
LMPP_Progenitors,DNAH1
LMPP_Progenitors,ITIH4
LMPP_Progenitors,PSMD6
LMPP_Progenitors,CHMP2B
LMPP_Progenitors,RPL24
LMPP_Progenitors,CD200
LMPP_Progenitors,CCDC191
LMPP_Progenitors,GTF2E1
LMPP_Progenitors,CNBP
LMPP_Progenitors,IL20RB
LMPP_Progenitors,RNF7
LMPP_Progenitors,XRN1
LMPP_Progenitors,GYG1
LMPP_Progenitors,RNF13
LMPP_Progenitors,SSR3
LMPP_Progenitors,NCEH1
LMPP_Progenitors,PSMD2
LMPP_Progenitors,EIF4G1
