"Cell","mapping_error_score","mapping_error_QC","UMAP1_projected","UMAP2_projected","predicted_CellType","predicted_CellType_prob","predicted_Pseudotime"
"S2PL02-05I-516-REL",8.32212900387758,"Pass",2.46199512481689,2.545490026474,"MPP-MyLy",0.566666666666667,0.02467327
"S2PL02-05K-516-REL",7.54855382712363,"Pass",3.59415030479431,2.37193870544434,"MPP-MkEry",0.483870967741935,0.4439979
"S2PL02-05M-516-REL",8.05863339422061,"Pass",3.24976634979248,2.10231590270996,"MPP-MyLy",0.5,0.07133413
"S2PL02-05O-516-REL",8.006904426677,"Pass",3.08112239837646,3.52020335197449,"MPP-MkEry",0.6,0.013632295
"S2PL02-07A-516-REL",8.61633546668994,"Pass",3.36252379417419,2.36032700538635,"MPP-MyLy",0.4,0.062590815
"S2PL02-07C-516-REL",8.50229904373733,"Pass",2.1503918170929,2.41722965240479,"HSC",0.5,0.02832536
"S2PL02-07E-516-REL",8.27409556623273,"Pass",4.3966965675354,5.08516359329224,"MEP",1,2.30052350345564
"S2PL02-07G-516-REL",8.95617043752289,"Pass",1.76477181911469,2.70624256134033,"HSC",0.9,2.138031e-07
"S2PL02-07I-516-REL",12.3449681911694,"Pass",2.29997253417969,2.58229899406433,"HSC",0.8,0.1547504
"S2PL02-07K-516-REL",7.45537234425775,"Pass",1.55746269226074,3.07240438461304,"HSC",0.966666666666667,0.1785645
"S2PL02-07M-516-REL",8.70455375111914,"Pass",2.52505111694336,2.44911074638367,"MPP-MyLy",0.566666666666667,0.07999553
"S2PL02-07O-516-REL",11.3615289217589,"Pass",2.78981065750122,2.1764919757843,"MPP-MyLy",0.733333333333333,0.02575345
"S2PL02-09A-516-REL",9.52961692753513,"Pass",1.72925090789795,3.23466300964355,"HSC",1,0.17856445
"S2PL02-09C-516-REL",8.84659769350736,"Pass",1.97117304801941,2.69696235656738,"HSC",0.6,0.0048630075
"S2PL02-09E-516-REL",17.8458168395287,"Pass",3.24995112419128,3.39751601219177,"MPP-MkEry",0.4,0.033084835
"S2PL02-09G-516-REL",10.6500255309122,"Pass",2.41910934448242,3.25428485870361,"HSC",0.966666666666667,0.16637235
"S2PL02-09I-516-REL",7.93149064858832,"Pass",2.57524681091309,2.03631162643433,"LMPP",0.4,4.939998e-08
"S2PL02-09K-516-REL",7.05757471700541,"Pass",2.12409925460815,2.49384689331055,"HSC",0.5,0.095346136249945
"S2PL02-09M-516-REL",8.57167038559707,"Pass",2.51599073410034,2.5983259677887,"MPP-MyLy",0.566666666666667,0.0120431359336345
"S2PL02-09O-516-REL",8.47912928872962,"Pass",2.80554127693176,3.24492168426514,"MPP-MkEry",0.633333333333333,0.0007054819
"S2PL02-11A-516-REL",10.7937360019414,"Pass",2.42218160629272,2.46711611747742,"MPP-MyLy",0.566666666666667,0.01803643
"S2PL02-11C-516-REL",8.21044195473068,"Pass",1.94665551185608,2.07915163040161,"HSC",0.466666666666667,0.083496275
"S2PL02-11E-516-REL",7.65621264377576,"Pass",2.10473990440369,3.05124306678772,"HSC",0.766666666666667,0.0439295252891913
"S2PL02-11G-516-REL",9.4804646402344,"Pass",3.32096600532532,4.07270765304565,"MPP-MkEry",0.733333333333333,0.32466755
"S2PL02-11I-516-REL",10.7336796980995,"Pass",2.70159149169922,3.63309621810913,"HSC",0.733333333333333,0.008245312
"S2PL02-11K-516-REL",11.3107703009397,"Pass",2.17342901229858,2.74553203582764,"HSC",0.866666666666667,0.082733448
